Time,X,Y,Vy,Yaw,YawRate,YawAcc,SideSlipAngle,Steer,T_FL,T_FR,T_RL,T_RR
0,2.44211610110323,-5.25000000444993,9.47090121438063e-10,0,0,-2.0462291164274e-08,0,-3.56675466939294e-10,0.00114063893365719,0.00114063893365719,-0.0426807732218203,-0.0426807732218203
0.01,2.61710675919625,-5.25000000444895,1.17410049610767e-09,-2.42372118509672e-12,-3.98189657906423e-10,5.99211018351055e-08,1.24238029103735e-11,-1.38623858312453e-09,1.65822601091298e-07,3.59772648752393e-07,-10.0260137293333,-10.0289591642219
0.02,2.81151425108992,-5.25000000444402,1.90811301583611e-09,-8.21870441168608e-12,-7.17962330717629e-10,-8.17977294461948e-08,5.213628501133e-11,-1.39975234051196e-09,-1.01428947692217e-07,9.27577880269204e-08,-10.0504912123209,-10.0504696066998
0.03,3.00589482922412,-5.25000000442919,3.26339293321885e-09,-1.92960066555775e-11,-1.38796603938888e-09,-6.51746917768836e-08,1.25372340906711e-10,-1.41601357462467e-09,-9.97955958252639e-08,9.43910488312993e-08,-10.0571197178624,-10.0571116811681
0.04,3.20024840927054,-5.25000000440035,5.04758268467895e-09,-3.72064954661424e-11,-2.12647666786358e-09,-7.41073143170341e-08,2.21615931031578e-10,-1.42999435600102e-09,-9.0286563964731e-08,1.0390011483466e-07,-10.0605076517157,-10.0605046577813
0.05,3.39457493506178,-5.25000000435566,7.05414577060563e-09,-6.26481474972135e-11,-2.88871814563857e-09,-7.62831222212757e-08,3.29936250271589e-10,-1.43430371529404e-09,-8.88938728321742e-08,1.05292817503128e-07,-10.0626464243168,-10.0626453044232
0.06,3.58887438745181,-5.25000000429517,9.12350506153621e-09,-9.56884534323687e-11,-3.63845817036007e-09,-7.30512997153356e-08,4.41879068150442e-10,-1.42445752328996e-09,-8.91063310880236e-08,1.05080358386855e-07,-10.0642777229582,-10.0642772990711
0.07,3.78314675584028,-5.25000000422032,1.11428800176691e-08,-1.35960371874228e-10,-4.33489113055561e-09,-6.63825970461113e-08,5.51427730087294e-10,-1.39213120285003e-09,-9.42255765044864e-08,1.09911421415643e-07,-10.0657134389612,-10.0657132736992
0.08,3.97739203374872,-5.25000000413339,1.30351967575279e-08,-1.82750746165472e-10,-4.94676559463906e-09,-5.70780308188197e-08,6.54438857277929e-10,-1.33357854230007e-09,-9.88668001737636e-08,1.14399126293491e-07,-10.0670775073737,-10.0670774385059
0.09,4.17161021778135,-5.25000000403711,1.47497485239141e-08,-2.35081660157326e-10,-5.45094041152033e-09,-4.57482005852618e-08,7.48155811785667e-10,-1.24665161353732e-09,-1.05399601775524e-07,1.20791286840893e-07,-10.0684185652038,-10.0684185326327
0.1,4.36580130670595,-5.25000000393445,1.62566108655689e-08,-2.9177205982724e-10,-5.82908532673331e-09,-3.27675375256103e-08,8.30915136527999e-10,-1.12865139630103e-09,-1.14150576543265e-07,1.29404451564008e-07,-10.0697563115474,-10.0697562930664
0.11,4.55996530085441,-5.25000000382834,1.75400624680004e-08,-3.51483249174633e-10,-6.06768206325095e-09,-1.86408652877203e-08,9.01806013240727e-10,-9.82059973706623e-10,-1.2470879600518e-07,1.39834231974861e-07,-10.071098851545,-10.0710988389795
0.12,4.75410220176143,-5.25000000372158,1.85939957867107e-08,-4.12766911535425e-10,-6.1576997563387e-09,-3.7703710157883e-09,9.60432537099403e-10,-8.08866248720036e-10,-1.37126499575452e-07,1.52135436869844e-07,-10.0724494368898,-10.0724494272395
0.13,4.9482120119245,-5.2500000036167,1.9417939494641e-08,-4.7433887771765e-10,-6.32190204550495e-09,-2.15243999160251e-07,1.00693536579474e-09,-6.15102939503093e-10,1.36034406306446,1.36034438715263,-7.84593052325804,-7.84826780908143
0.14,5.14229521668509,-5.25000000352903,1.38863436501572e-08,-6.12876598929258e-10,-2.28915600471886e-08,2.66407295818546e-05,7.37049669097328e-10,-4.54366379590287e-10,2.62306562817515,2.62307190618897,-6.77846319219028,-6.83441961777124
0.15,5.33635281340669,-5.25000000340538,2.34097476028031e-08,-6.40486376087583e-10,1.869727844291e-08,1.93390785964869e-05,1.20403214172798e-09,8.17205539349608e-11,4.10517770181881,4.10516289895406,-5.037363537372,-4.76521244317766
0.16,5.53038598910411,-5.25000000326963,3.07332473758102e-08,-6.86093092649629e-10,-6.78278077713658e-08,-1.46026520069031e-05,1.67498400292149e-09,2.11274960200403e-10,7.4371472387372,7.43717689646617,-0.903078574071164,-0.458966571032777
0.17,5.72439660274932,-5.25000000281826,5.13266319836509e-08,5.77052189063143e-11,1.50822377981975e-09,-1.63086023887055e-05,2.74874889401688e-09,1.03251906026849e-09,9.99929562519351,9.99923213403105,2.49528977261119,2.31541927151413
0.18,5.91838617760119,-5.25000000210554,1.0145206668017e-07,8.52947235160353e-11,2.30908771089877e-08,-1.90111638709286e-05,5.36205011043904e-09,-2.14700420636538e-10,12.7405771591112,12.7405145221658,6.32044759400411,6.53998154230594
0.19,6.1123563849784,-5.25000000098187,1.13186165345314e-07,2.83314434356116e-10,1.25227623813428e-07,5.09033936023816e-05,5.89040257535244e-09,-2.43663811783784e-10,15.6045427448609,15.6048160210261,9.91639532579441,9.49845542229492
0.2,6.30630895732143,-5.24999999971415,1.26255017884747e-07,-3.0958177856864e-10,3.52763305309437e-08,7.3479762383914e-05,6.64910932502859e-09,-6.85963410206047e-10,18.5567566138283,18.5567979366498,13.7308231299218,12.9715350917555
0.21,6.50024568981854,-5.24999999878064,7.74643758269398e-08,-6.53940647182848e-10,-6.65162602298585e-08,-6.98214256668108e-05,4.15908486365382e-09,-3.5317850206884e-11,21.5705607128819,21.5707225019672,16.9165727831403,17.2164613747994
0.22,6.69416841003995,-5.2499999985354,2.11648836365551e-08,-2.05873042021599e-09,-1.21046694601512e-07,-2.64176476791684e-05,1.22474139373349e-09,1.7917514910995e-10,24.6195554942904,24.619303889577,20.7127758609391,21.5332513980035
0.23,6.88807897306473,-5.24999999980401,-1.15763293764516e-07,-3.95591642332724e-09,-4.30707363047666e-08,0.000130411546720488,-6.20975575669543e-09,8.96521900554254e-10,27.6810472284118,27.6821712676833,25.8911482773001,25.1227328695192
0.24,7.08197924223246,-5.25000000232281,-2.27170166399576e-07,-4.37672390099956e-09,-6.93924927212937e-08,3.72284156411036e-05,-1.20513958511019e-08,4.77842692888156e-09,30.7340559964214,30.7335642407046,28.829055120029,28.3178947787175
0.25,7.27587107927624,-5.25000000614741,-3.57765753622213e-07,-4.14864805446403e-09,-4.87035959112442e-09,1.34324214169917e-05,-1.89368426146207e-08,5.2698204884051e-09,33.7561026390854,33.7562910221075,34.3036302680316,34.6576497536293
