Time,e_y,e_yaw,e_yawrate,e_beta
0,-1.12600524460049e-08,4.06005699178523e-10,0,0
0.01,-1.13195888218343e-08,4.08717776126792e-10,2.13510447890123e-10,-3.02971953274004e-11
0.02,-2.68122821722727e-08,-1.37493240084971e-08,-4.05169956716657e-06,-2.32026079819579e-07
0.03,-2.56808328380487e-07,-1.99076988359789e-07,-3.718897114406e-05,-2.26785472238353e-06
0.04,-1.42130123492734e-06,-1.08228249020572e-06,-0.000144133459246334,-8.87510981220595e-06
0.05,-4.93317525585013e-06,-3.66978469148104e-06,-0.00037327274909724,-2.26487519032453e-05
0.06,-1.28465326207916e-05,-9.41110645151863e-06,-0.000764199936251497,-4.50935693225367e-05
0.07,-2.7675919995751e-05,-2.00694858266391e-05,-0.00134090394742258,-7.63090762462626e-05
0.08,-5.21700938334035e-05,-3.75495811587989e-05,-0.00210932904346923,-0.000115072402836214
0.09,-8.90906661341617e-05,-6.37168723560728e-05,-0.00305772950648377,-0.000159116648999694
0.1,-0.000141025834249575,-0.000100236416532635,-0.00415975340432106,-0.000205533899050758
0.11,-0.000210253828776708,-0.000148443906425869,-0.00537753679722062,-0.000251148292201601
0.12,-0.000298651735805677,-0.000209250285514769,-0.0066653506963908,-0.000292840984974212
0.13,-0.000407647131789091,-0.000283083460709176,-0.00797331908635037,-0.00032781534321421
0.14,-0.000538204591547853,-0.000369867415762665,-0.00925104989671965,-0.000353771969776623
0.15,-0.000690837460695981,-0.00046903139473963,-0.0104502466434945,-0.000369012020431578
0.16,-0.000865639888861125,-0.000579546668960241,-0.0115273102883582,-0.000372502010723362
0.17,-0.00106233238057385,-0.000699976919930353,-0.0124442606743346,-0.000363858780325448
0.18,-0.00128031204111689,-0.000828550031956823,-0.0131709868351123,-0.000343312108505024
0.19,-0.00151870643712204,-0.000963231440212043,-0.0136846002248991,-0.000311620815889119
0.2,-0.00177642454538329,-0.00110180523072213,-0.013970485162654,-0.000269985432551291
0.21,-0.00205220356395852,-0.00124194953169089,-0.014021969974757,-0.000219939573206356
0.22,-0.00234465294660513,-0.00138132240781748,-0.013839931268115,-0.000163252780076922
0.23,-0.00265229025102798,-0.00151762005400185,-0.0134312812356167,-0.000101830565019988
0.24,-0.00297357196788983,-0.00164864597454252,-0.0128090438256742,-3.76031311633835e-05
0.25,-0.0033069121480267,-0.00177235275376334,-0.0119899757917586,2.75775892479711e-05
0.26,-0.00365069707625043,-0.00188689228542797,-0.0109965957231778,9.1950555680533e-05
0.27,-0.00400330459839715,-0.0019906525644375,-0.0098529192926216,0.000153940783223699
0.28,-0.00436310668304785,-0.00208226960225503,-0.00858449855459657,0.000212208838875221
0.29,-0.00472847690692735,-0.00216064401137774,-0.00721776769677215,0.000265615726168545
0.3,-0.00509780321131181,-0.00222494099092752,-0.00578009532572383,0.000313212862726795
0.31,-0.0054695025479452,-0.00227458681107897,-0.00429590850393884,0.000354273682302561
0.32,-0.00584202388677024,-0.00230925310978992,-0.00278965797332271,0.000388278194547787
0.33,-0.00621385713108769,-0.00232884313639226,-0.00128394563826032,0.000414911134844339
0.34,-0.00658353487056473,-0.00233348244832029,0.000199825847598262,0.000434073358083605
0.35,-0.00694963258741943,-0.00232349841455971,0.00164243058055817,0.000445871837403859
0.36,-0.00731076903935257,-0.00229939710078361,0.00302694373310822,0.000450581511376409
0.37,-0.00766560871386801,-0.00226183899686331,0.00433905095710244,0.00044861617091394
0.38,-0.00801286558714853,-0.00221161883456446,0.00556651343319752,0.000440503345857517
0.39,-0.00835130824946884,-0.00214963848659182,0.00669950484608663,0.000426846123815666
0.4,-0.00867976627517564,-0.0020768834097836,0.00773069455709648,0.000408297495315964
0.41,-0.00899713670888769,-0.00199440672692304,0.00865438697494276,0.000385550144228837
