Time,X,Y,Vy,Yaw,YawRate,YawAcc,SideSlipAngle,Steer,T_FL,T_FR,T_RL,T_RR
0,2.44211610110323,-5.25000000444993,9.47090121438063e-10,0,0,-2.0462291164274e-08,0,-3.56675466939294e-10,0.00114063893365719,0.00114063893365719,-0.0426807732218203,-0.0426807732218203
0.01,2.61710675919625,-5.25000000445114,6.5610820341586e-10,-4.19321801361294e-12,-7.18237318116165e-10,1.15698108947828e-07,-1.38817686086982e-11,-2.4046453699772e-09,6.88476814239558e-08,4.56747558483239e-07,-10.0245433010831,-10.0304295882645
0.02,2.81151425110116,-5.25000000445635,7.40239323929095e-10,-2.00400388125678e-11,-1.61983491484644e-09,4.93375351432348e-08,-6.92622309875338e-12,-2.33917317200155e-09,-2.17488847549518e-07,2.08817681358192e-07,-10.0505271780301,-10.0503957415769
0.03,3.00589482925883,-5.25000000445921,1.55606466459278e-09,-3.90940084356775e-11,-2.33060662807092e-09,-9.51651480427975e-08,3.88185660669007e-11,-2.23646673793224e-09,-2.45082713630496e-07,2.3967810510242e-07,-10.0571330759565,-10.0570842306114
0.04,3.20024840933142,-5.25000000445406,3.0215608533962e-09,-6.77343832349472e-11,-3.34468234172971e-09,-1.13245143017559e-07,1.19205414294722e-10,-2.17765362686695e-09,-2.59216885234448e-07,2.72830433991483e-07,-10.0605126124551,-10.0604944589285
0.05,3.39457493514958,-5.25000000443722,4.94341097929279e-09,-1.07229299938901e-10,-4.43543875458819e-09,-1.07149647834298e-07,2.2377231582686e-10,-2.0728763753218e-09,-2.92476408130654e-07,3.08875364816302e-07,-10.0626482667467,-10.0626415147095
0.06,3.58887438756683,-5.25000000440728,7.1212636944883e-09,-1.57147475613255e-10,-5.4268064483007e-09,-9.33963407083885e-08,3.41802535480665e-10,-1.92266808377028e-09,-3.35277111237348e-07,3.51251149239423e-07,-10.0642784063779,-10.0642758904428
0.07,3.78314675598264,-5.25000000436443,9.40188002907578e-09,-2.16028385140159e-10,-6.23782456534468e-09,-7.36099984863109e-08,4.65137033056749e-10,-1.72232717757931e-09,-3.83320514763669e-07,3.99006369389276e-07,-10.0657136915591,-10.0657127497552
0.08,3.97739203391848,-5.2500000043098,1.16785236457202e-08,-2.81811183757258e-10,-6.82465017834726e-09,-5.02617231768485e-08,5.8807845744357e-10,-1.47302700115662e-09,-4.34467530070759e-07,4.49999867827011e-07,-10.0670775998623,-10.0670772432553
0.09,4.17161021797853,-5.25000000424502,1.3875726268559e-08,-3.52103342040537e-10,-7.16232387928129e-09,-2.50413840958272e-08,7.06583840659012e-10,-1.17890689181263e-09,-4.86603812792363e-07,5.01995511246328e-07,-10.0684185982035,-10.0684184594955
0.1,4.36580130693058,-5.25000000417189,1.59400653776618e-08,-4.24332375126259e-10,-7.23740589578953e-09,1.17060614205991e-09,8.17778749537222e-10,-8.42890292285237e-10,-5.38406827958055e-07,5.53660717935583e-07,-10.0697563224762,-10.0697562652793
0.11,4.55996530110652,-5.25000000409215,1.78301805960968e-08,-4.95851182307565e-10,-7.04758342809992e-09,2.72293234795724e-08,9.19440328177689e-10,-4.77997909482941e-10,-5.87292580164767e-07,6.02418032468605e-07,-10.0710988543393,-10.0710988280022
0.12,4.75410220204104,-5.25000000400744,1.95114293433284e-08,-5.64047160358874e-10,-6.60069470978856e-09,5.22137121415896e-08,1.00971977210795e-09,-9.54176095774306e-11,-6.31865172334017e-07,6.46874127117891e-07,-10.0724494367581,-10.0724494224448
0.13,4.94821201223163,-5.25000000391925,2.09519120001684e-08,-6.26972778280197e-10,-6.44263582944462e-09,-4.51932107557853e-07,1.08746459943179e-09,2.86862035427798e-10,1.36034314303401,1.36034450515155,-7.84688634514431,-7.85232309445926
0.14,5.14229521716968,-5.2500000038646,1.04154154544972e-08,-6.87559713194674e-10,-2.70012507711029e-09,9.06640574457446e-06,5.30930715821982e-10,5.78732094799056e-10,2.62306726654945,2.62308223402411,-6.79384918748128,-6.78875879084066
0.15,5.33635281428496,-5.25000000392506,6.15559216717613e-09,-8.72053607571705e-10,-1.97760273896649e-09,2.12112844318727e-06,2.85985687254417e-10,7.63904195975884e-10,4.10516332485867,4.10517360339321,-5.04908818738703,-4.94051134769556
0.16,5.53038600424593,-5.25000000423599,-2.54417104992871e-08,-9.32636320570732e-10,-3.90455125621901e-08,-2.76505574415804e-05,-1.35454371168421e-09,1.59997370560716e-09,7.43713185976289,7.43717170487583,-0.868179925061195,-0.663196212048766
0.17,5.72439663312042,-5.25000000487496,-7.0501454023906e-08,-8.13603672279293e-10,-4.77836492475378e-08,-2.54563406255071e-05,-3.72466634359364e-09,5.65347530769034e-09,9.99921722559299,9.99930986825079,2.24156825627725,2.22870121643337
0.18,5.91838622394269,-5.25000000593466,-9.65926834885497e-08,-1.35332616636788e-09,-6.79123329062941e-08,3.77092909548505e-05,-5.11788577061279e-09,6.65638836801555e-09,12.7408488405141,12.7408731085162,5.6113225647959,6.13277978592565
0.19,6.11235644852662,-5.25000000702806,-9.52381200142439e-08,-4.02765297703983e-10,-4.28055840378765e-08,-0.000110274370011853,-5.04171991055136e-09,1.25753441436102e-08,15.6059133066991,15.6056586825069,9.37804209295973,9.40324714532136
