Time,Road_FR_mu,FR_x,FR_y,FR_z,Road_FL_mu,FL_x,FL_y,FL_z,Road_RR_mu,RR_x,RR_y,RR_z,Road_RL_mu,RL_x,RL_y,RL_z,Ax,Ay,long_slip_FL,long_slip_FR,long_slip_RL,long_slip_RR,lat_slip_FL,lat_slip_FR,lat_slip_RL,lat_slip_RR
0,0.8,0.940559747576357,340.654906530493,6017.46130437444,0.8,0.940560140399129,-340.654957546657,6017.45970651905,0.8,1.32469666733718,383.723150454723,4945.28479199312,0.8,1.32469646666104,-383.723083629308,4945.28338680225,-0.0760762646667081,5.00161688563128e-08,3.64363533635286e-06,3.64363327828163e-06,5.81490755822359e-06,5.81490728269226e-06,0.00263618271743909,-0.00263618193648441,0.00336035266367905,-0.00336035258151916
0.01,0.8,-123.164315163037,339.288746861717,6038.30750440952,0.8,-123.164301332828,-339.288792255068,6038.30630708909,0.8,-109.316135758474,382.089925095951,4972.39326982723,0.8,-109.316121538568,-382.089796723579,4972.39232148767,-0.287467162056563,9.9532622305398e-08,-0.000324464898828095,-0.000324464799630073,-0.000326943301854466,-0.000326943404125692,0.00261626920399916,-0.0026162689120947,0.00332678090060046,-0.00332678197799659
0.02,0.8,-124.588409454881,340.905093725414,6048.76667049393,0.8,-124.597343887542,-337.713061937142,6048.65425919138,0.8,-101.992535405415,381.678552385776,4979.38141929515,0.8,-101.984274529831,-381.690608492431,4979.37223157436,-0.285187375994622,0.00120050539577201,-0.000473377792524395,-0.000473358322194877,-0.000443090740613166,-0.000443147305495486,0.00260028746112674,-0.00264257185773378,0.00332820058405168,-0.00332793421684244
0.03,0.8,-120.112832131109,349.975427670126,6052.99295922446,0.8,-120.131346114124,-330.922447035158,6051.97113773096,0.8,-97.7239093414522,381.967692572669,4977.90935207322,0.8,-97.6563673769135,-382.117427176675,4977.77026466496,-0.27749707785346,0.00744386029455751,-0.000468638220476357,-0.000468651252579664,-0.000421248062731954,-0.000421631969217824,0.00252579567561717,-0.00273647515330417,0.00333351118597856,-0.00333098258091967
0.04,0.8,-119.338065101465,367.654310268451,6055.170557235,0.8,-119.308907881269,-315.487911228456,6051.39574801685,0.8,-98.1834040656416,381.788203406589,4973.52621713964,0.8,-97.963524099541,-382.438677607144,4972.77758323344,-0.277103544125143,0.0207042021747679,-0.000461639007603375,-0.000462023139677787,-0.000417409335527638,-0.000418533631954718,0.00237812270537572,-0.00289891354968238,0.00333775330171491,-0.00332845319742854
0.05,0.8,-119.422243144143,393.049221173074,6057.39499335886,0.8,-119.237966674872,-291.646069291142,6048.14603064719,0.8,-98.5809609390125,380.925458087489,4968.40803817558,0.8,-98.0971105727824,-382.617005982284,4966.01939274968,-0.277458435378876,0.0405835230300292,-0.00046026358479102,-0.000461474395803234,-0.000418214201802048,-0.000420512499668801,0.00216860770989371,-0.00311764121029794,0.0033421491975461,-0.00332044599947733
0.06,0.8,-119.558492295507,423.973391458629,6060.64070068883,0.8,-119.104657592841,-261.693591713955,6042.69028126163,0.8,-98.7576816475584,379.558562572324,4963.64950298231,0.8,-97.9004637301887,-382.776808325034,4958.00615759575,-0.277610422707331,0.065351088971441,-0.000459757425596035,-0.000462167903135347,-0.000417860386956983,-0.000421704465695374,0.00191924075249305,-0.00337254531316406,0.00334735329951257,-0.00330904308234919
0.07,0.8,-119.730455913877,457.642089685655,6065.27718863854,0.8,-118.899012830592,-228.682985368439,6035.28110440039,0.8,-98.9106614720964,378.009841761459,4959.88523174316,0.8,-97.5871461960817,-382.904926977933,4948.89712548166,-0.277705954178549,0.0927900023321929,-0.000459187592993413,-0.000462959532748804,-0.000416932006503033,-0.000422583817798715,0.00165451754993926,-0.00364090890493917,0.00335239007196543,-0.00329718657427293
0.08,0.8,-119.94991254842,491.235398254909,6071.29202946809,0.8,-118.666430877869,-195.655860555468,6026.16342133479,0.8,-99.0660190633526,376.663671662975,4957.47482634583,0.8,-97.209776472393,-382.824366623089,4938.77031194124,-0.27782265160871,0.120796900091813,-0.000458584922718013,-0.000463936185057754,-0.000415819118391572,-0.000423394354921053,0.0013971160039101,-0.00390128753691034,0.00335503665060145,-0.0032882490884968
0.09,0.8,-120.209268123244,522.21617612305,6078.01941978627,0.8,-118.41537321012,-165.249919723922,6015.63418671475,0.8,-99.2181722430083,375.908387720003,4956.58366783061,0.8,-96.7971074369829,-382.267073763904,4927.71380606697,-0.277899657919749,0.147283050552178,-0.00045797553521137,-0.000464928041739203,-0.000414634720525396,-0.00042412116824097,0.00116603839559548,-0.00413588569588199,0.0033526463287292,-0.00328547272270201
0.1,0.8,-120.437846002784,548.601813253517,6085.20162909988,0.8,-118.160026495026,-139.507838443765,6004.05358123573,0.8,-99.3715729830699,376.112066072037,4957.22352456106,0.8,-96.3750325564897,-380.930477895886,4915.86569214013,-0.277959594388848,0.170967344077801,-0.000457396212282002,-0.000465736193989924,-0.000413478140836216,-0.000424756426831149,0.000975359380587053,-0.00433056572899267,0.00334237458736108,-0.0032919787270879
0.11,0.8,-120.636215054707,569.028814304395,6092.74322329223,0.8,-117.916030822878,-119.831212247644,5991.8219597616,0.8,-99.5158372140817,377.595236862616,4959.27583849962,0.8,-95.966866478534,-378.52861090258,4903.43598272411,-0.277996085668533,0.190868766902046,-0.000456912115292247,-0.000466337182540648,-0.000412428113724509,-0.000425265173089083,0.000834108120130357,-0.00447612663432315,0.00332177110329928,-0.00331030147817016
0.12,0.8,-120.802795563369,582.684381142853,6100.49853504392,0.8,-117.691553875391,-107.008471719636,5979.35986349751,0.8,-99.6410941557072,380.590628382028,4962.53090911291,0.8,-95.5881286113074,-374.824084022436,4890.68746840861,-0.27799947907387,0.206437740246066,-0.000456589543009823,-0.000466742035724243,-0.00041158321539882,-0.000425615970832444,0.000747037319632574,-0.00456778252521559,0.00328914370421569,-0.00334210912959486
0.13,0.8,-119.911578768731,589.269826279233,6108.26523213376,0.8,-116.490384133335,-101.300944748503,5967.09085579908,0.8,-98.243586891983,385.224642338168,4966.71857156604,0.8,-93.7785706225629,-369.694057424592,4877.91664587006,-0.276052633681875,0.217449674024082,-0.000442329126642175,-0.000452853654120468,-0.000387503127417767,-0.000402398025725679,0.00071518072803615,-0.00460451325846771,0.00324370629742488,-0.00338810456098786
0.14,0.8,-112.857867913749,588.93711676663,6115.10086287922,0.8,-109.189133414764,-102.566362363473,5954.77442046565,0.8,-92.159143773611,391.465606101892,4972.99307978029,0.8,-87.3475054929339,-363.103386371939,4866.90385758948,-0.26376583752195,0.223980971107118,-0.000423181936336695,-0.000433977520671607,-0.00037018550789204,-0.0003859544714363,0.000736899120268486,-0.00458882442019216,0.00318431473790844,-0.0034467479413652
0.15,0.8,-107.462328984761,582.101968658053,6121.21039704548,0.8,-103.674882462868,-110.24741471987,5943.20644772082,0.8,-86.6160158606958,399.317105044857,4979.77390319233,0.8,-81.5053095160741,-355.228097308297,4856.70940998895,-0.253965171176165,0.226723171614518,-0.000399496117985061,-0.000410244709841186,-0.000345803953977596,-0.000363763212452201,0.000806933834187027,-0.00452425761043723,0.00311389547061227,-0.00351892139321957
0.16,0.8,-95.9595662394246,569.475151735682,6125.91555049848,0.8,-92.1012227609522,-123.598526890229,5932.21860771269,0.8,-75.047739293225,408.572238628135,4987.97150482814,0.8,-69.7221013162929,-346.207538656481,4848.83883261385,-0.233424747409361,0.224787871878242,-0.000361766457276991,-0.000372521892869586,-0.000300535992186357,-0.000318963533801797,0.000919684578119043,-0.00441720542242991,0.00303273777621256,-0.00360133674928932
0.17,0.8,-87.391409338139,551.904656811697,6129.33779714222,0.8,-83.6071657053703,-141.683502612394,5922.37918573909,0.8,-66.8248339468465,419.045703767811,4996.0769590177,0.8,-61.6539034840265,-336.356827161585,4842.30986313941,-0.218587079225879,0.220172278025831,-0.000325359227761041,-0.00033563183659558,-0.00025919173714636,-0.000277159451356714,0.00106737930061174,-0.00427418361228305,0.00294499941912164,-0.00369329882909453
