Time,Road_FR_mu,FR_x,FR_y,FR_z,Road_FL_mu,FL_x,FL_y,FL_z,Road_RR_mu,RR_x,RR_y,RR_z,Road_RL_mu,RL_x,RL_y,RL_z,Ax,Ay,long_slip_FL,long_slip_FR,long_slip_RL,long_slip_RR,lat_slip_FL,lat_slip_FR,lat_slip_RL,lat_slip_RR
0,0.8,0.940559747576357,340.654906530493,6017.46130437444,0.8,0.940560140399129,-340.654957546657,6017.45970651905,0.8,1.32469666733718,383.723150454723,4945.28479199312,0.8,1.32469646666104,-383.723083629308,4945.28338680225,-0.0760762646667081,5.00161688563128e-08,3.64363533635286e-06,3.64363327828163e-06,5.81490755822359e-06,5.81490728269226e-06,0.00263618271743909,-0.00263618193648441,0.00336035266367905,-0.00336035258151916
0.01,0.8,-123.164314931393,339.288573353885,6038.3074943893,0.8,-123.164301564847,-339.288965762893,6038.30631710933,0.8,-109.315890014392,382.089926673812,4972.3932203351,0.8,-109.316367283611,-382.08979514571,4972.39237097992,-0.287467162046285,-3.53376039865306e-06,-0.000324464895140184,-0.000324464803320176,-0.000326947201996381,-0.000326939503996745,0.00261627076615611,-0.00261626734993806,0.00332678083916891,-0.00332678203942782
0.02,0.8,-124.592901965524,339.308924162932,6048.7109021278,0.8,-124.592892809101,-339.309222403514,6048.71002582887,0.8,-101.987449483058,381.684682213217,4979.37724375829,0.8,-101.988306593201,-381.684471140889,4979.37655453666,-0.285186855278552,1.06243049801196e-07,-0.000473368267137544,-0.000473368255759696,-0.000443119297942263,-0.000443116009318006,0.00262143070961357,-0.0026214286210173,0.00332806640399757,-0.0033280682477195
0.03,0.8,-120.122232109649,340.448582923785,6052.482367511,0.8,-120.122229587146,-340.448779453804,6052.48171383022,0.8,-97.6899624829306,382.042698179216,4977.84014856266,0.8,-97.6901065978605,-382.042421319108,4977.83958513028,-0.277495578502756,1.02000785648931e-07,-0.000468647181769244,-0.000468647167685404,-0.000421439925918113,-0.000421438924786027,0.00263113663521273,-0.00263113532489731,0.00333224568397171,-0.00333224806224127
0.04,0.8,-119.325553143289,341.568806463909,6053.28331751537,0.8,-119.325554738391,-341.568916039771,6053.28283685357,0.8,-98.0734970311626,382.113613287797,4973.15214733186,0.8,-98.0735315609226,-382.113304882441,4973.1517512722,-0.277096210904831,1.45552124997054e-07,-0.000461811442340724,-0.0004618114134108,-0.000417971969913991,-0.000417971865662647,0.00263852380352981,-0.00263852308305988,0.00333310202052922,-0.00333310459289837
0.05,0.8,-119.33258153249,342.3378512275,6052.77031581143,0.8,-119.332583230729,-342.337899156684,6052.76997903276,0.8,-98.3394072710048,381.771517680118,4967.2139851227,0.8,-98.3394234349261,-381.771212558147,4967.21373602739,-0.277429609136407,1.50485393576215e-07,-0.000460805763038198,-0.000460805738772353,-0.000419365912246275,-0.00041936587077432,0.00264314743684239,-0.00264314713725724,0.00333129656454626,-0.00333129903925224
0.06,0.8,-119.335775326973,342.79846008853,6051.66399461114,0.8,-119.335777727993,-342.798464318856,6051.66378390236,0.8,-98.3300816587645,381.168414697123,4960.82848328438,0.8,-98.3300874874331,-381.168138147408,4960.82835663299,-0.277538290495158,1.40286860373509e-07,-0.000460881547425387,-0.00046088152865109,-0.000419788871202271,-0.00041978884539193,0.0026459573626698,-0.00264595734776412,0.00332819753300815,-0.00332819972476927
0.07,0.8,-119.324038944836,343.070994869779,6050.27400641146,0.8,-119.324042508297,-343.070965508602,6050.27390849714,0.8,-98.2509101916092,380.459280652844,4954.39298660877,0.8,-98.2509135262083,-380.45904839119,4954.39296255993,-0.277565577590462,1.23309712315196e-07,-0.000460955001357905,-0.000460954983608163,-0.00041977070040855,-0.000419770685092369,0.00264785056614479,-0.00264785077549822,0.00332478793445495,-0.00332478973417725
0.08,0.8,-119.320917489917,343.253805897394,6048.73603298866,0.8,-119.320922099962,-343.253748344016,6048.73603523236,0.8,-98.1417716480318,379.748070496934,4948.12684489641,0.8,-98.1417758251891,-379.747891283459,4948.12690740527,-0.277564861215451,1.02986721832135e-07,-0.000461023490647697,-0.000461023472979754,-0.000419633784610834,-0.000419633769717638,0.00264940965551637,-0.00264941006241324,0.00332164256929498,-0.00332164391801506
0.09,0.8,-119.324071063669,343.408169621441,6047.11489554149,0.8,-119.324076568947,-343.408086349796,6047.11498481066,0.8,-98.0168043157371,379.094818884849,4942.15872637327,0.8,-98.016809898834,-379.094696770993,4942.15886151996,-0.277546501134237,8.18657595700338e-08,-0.00046110683867676,-0.000461106821329409,-0.000419433147893693,-0.00041943313077663,0.00265095482387103,-0.00265095541805104,0.003319061867564,-0.00331906274012534
